Year,Age,Gender,People
1992,64,Female,42681.45
1993,64,Female,43493.06
1994,64,Female,48407.69
1995,64,Female,42679.91
1996,64,Female,45649.21
1997,64,Female,42930.09
1998,64,Female,41676.22
1999,64,Female,43008.4
2000,64,Female,43865.66
2001,64,Female,50608.91
2002,64,Female,48855.24
2003,64,Female,48390.27
2004,64,Female,54453.46
2005,64,Female,50087.91
2006,64,Female,56100.29
1992,65,Female,40400.23
1993,65,Female,42030.15
1994,65,Female,42920.56
1995,65,Female,47784.33
1996,65,Female,42146.65
1997,65,Female,44844.08
1998,65,Female,42115.48
1999,65,Female,40923.04
2000,65,Female,42567.8
2001,65,Female,43403.79
2002,65,Female,50740.05
2003,65,Female,48430.56
2004,65,Female,47869.74
2005,65,Female,53921.09
2006,65,Female,49536.87
1992,66,Female,34093.85
1993,66,Female,39635.99
1994,66,Female,41267.53
1995,66,Female,42344.1
1996,66,Female,47121.25
1997,66,Female,41582.68
1998,66,Female,44049.45
1999,66,Female,41248.23
2000,66,Female,40133.46
2001,66,Female,42116.05
2002,66,Female,42881.79
2003,66,Female,50388.33
2004,66,Female,47890.78
2005,66,Female,47315.11
2006,66,Female,53365.98
1992,67,Female,32464.21
1993,67,Female,33503.07
1994,67,Female,38733.59
1995,67,Female,40507.74
1996,67,Female,41703.12
1997,67,Female,46405.19
1998,67,Female,41025.64
1999,67,Female,43224.79
2000,67,Female,40336.56
2001,67,Female,39340.23
2002,67,Female,41632.09
2003,67,Female,42316.26
2004,67,Female,49821.59
2005,67,Female,47307.57
2006,67,Female,46739.18
1992,68,Female,29464.07
1993,68,Female,31826.61
1994,68,Female,32890.93
1995,68,Female,37826.85
1996,68,Female,39692.51
1997,68,Female,41038.93
1998,68,Female,45666.16
1999,68,Female,40441.22
2000,68,Female,42350.96
2001,68,Female,39389.54
2002,68,Female,38505.94
2003,68,Female,41075.66
2004,68,Female,41724.61
2005,68,Female,49199.97
2006,68,Female,46674.5
1992,69,Female,27500.78
1993,69,Female,28944.6
1994,69,Female,31140.77
1995,69,Female,32212.48
1996,69,Female,36875.58
1997,69,Female,38853.86
1998,69,Female,40325.32
1999,69,Female,44906.14
2000,69,Female,39801.3
2001,69,Female,41435.97
2002,69,Female,38378.05
2003,69,Female,37805.87
2004,69,Female,40459.98
2005,69,Female,41078.91
2006,69,Female,48562.48
1992,70,Female,28558.32
1993,70,Female,26900.12
1994,70,Female,28444.27
1995,70,Female,30402.51
1996,70,Female,31514.05
1997,70,Female,35884.86
1998,70,Female,37955.91
1999,70,Female,39597.34
2000,70,Female,44060.77
2001,70,Female,39128.35
2002,70,Female,40435.58
2003,70,Female,37566.03
2004,70,Female,37156.06
2005,70,Female,39794.17
2006,70,Female,40458.19
1992,71,Female,25023.84
1993,71,Female,27872.56
1994,71,Female,26289.89
1995,71,Female,27937.7
1996,71,Female,29615.99
1997,71,Female,30762.54
1998,71,Female,34869.18
1999,71,Female,37023.76
2000,71,Female,38802.25
2001,71,Female,43207.75
2002,71,Female,38386.97
2003,71,Female,39567.75
2004,71,Female,36855.19
2005,71,Female,36444.35
2006,71,Female,39096.69
1992,72,Female,27607.44
1993,72,Female,24346.78
1994,72,Female,27150.07
1995,72,Female,25671.73
1996,72,Female,27331.17
1997,72,Female,28784.93
1998,72,Female,29997.05
1999,72,Female,33797.31
2000,72,Female,36044.27
2001,72,Female,38001.18
2002,72,Female,42302.43
2003,72,Female,37532.15
2004,72,Female,38771.21
2005,72,Female,36055.07
2006,72,Female,35674.75
1992,73,Female,23591.64
1993,73,Female,26786.76
1994,73,Female,23658.18
1995,73,Female,26431.05
1996,73,Female,24964.51
1997,73,Female,26716.5
1998,73,Female,27939.25
1999,73,Female,29194.73
2000,73,Female,32691.18
2001,73,Female,35051.51
2002,73,Female,37107.94
2003,73,Female,41374.06
2004,73,Female,36587.1
2005,73,Female,37927.2
2006,73,Female,35241.67
1992,74,Female,23108.03
1993,74,Female,22826.97
1994,74,Female,25904.06
1995,74,Female,22971.5
1996,74,Female,25608.51
1997,74,Female,24264.14
1998,74,Female,26098.05
1999,74,Female,27046.24
2000,74,Female,28354.3
2001,74,Female,31613.69
2002,74,Female,34046.42
2003,74,Female,36139.93
2004,74,Female,40410.65
2005,74,Female,35606.08
2006,74,Female,37025
1992,75,Female,22384.15
1993,75,Female,22292.17
1994,75,Female,22025.06
1995,75,Female,25011.74
1996,75,Female,22215.97
1997,75,Female,24801.51
1998,75,Female,23560.95
1999,75,Female,25367.16
2000,75,Female,26107.73
2001,75,Female,27538.44
2002,75,Female,30475.39
